"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"POPULARITY";"SPICEPREFIX";
"R27";"RLED_B";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R28";"RLED_R";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R29";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R30";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R31";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R32";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R33";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R34";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R35";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R36";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R37";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R38";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R39";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R40";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R41";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R42";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R43";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R44";"68k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R45";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R46";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"REG1";"LM78L.";"LM78L.";"TO92";"TO-92 Type, 100mA";"";"";"";"";"";"";"";"";
"SHAPE";"";"SPDT.LUGS";"SPDT.LUGS";"SPDT Switches";"";"";"";"";"";"";"";"";
"SPEED";"10kB";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";"";"";"";"";"";"";
"SW";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"U1";"CD4066BM96";"CD4066BM96";"SOIC127P600X175-14N";"CMOS Quad Bilateral Switch";"CMOS Quad Bilateral Switch";"1.75mm";"Texas Instruments";"CD4066BM96";"595-CD4066BM96";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/CD4066BM96?qs=gqbMQSs93zObWXN5RaXa3w%3D%3D";"";"";
"U2";"CD4066BM96";"CD4066BM96";"SOIC127P600X175-14N";"CMOS Quad Bilateral Switch";"CMOS Quad Bilateral Switch";"1.75mm";"Texas Instruments";"CD4066BM96";"595-CD4066BM96";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/CD4066BM96?qs=gqbMQSs93zObWXN5RaXa3w%3D%3D";"";"";
